id,marca,nombre,img_origen,pagina_producto
castelatto-adobe,Castelatto,Adobe,https://castelatto.com.br/wp-content/uploads/2021/12/07084042/adobe-terracota-arq-silvana-albuquerque-f-julia-totoli-10-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/adobe/
castelatto-aera,Castelatto,Aera,https://castelatto.com.br/wp-content/uploads/2025/11/07231831/17-aera-final-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/aera/
castelatto-apparente,Castelatto,Apparente,https://castelatto.com.br/wp-content/uploads/2025/04/08152038/fjr1800-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/apparente/
castelatto-brick-etrusco,Castelatto,Brick Etrusco,https://castelatto.com.br/wp-content/uploads/2025/03/08155431/07-brick-etrusco-r1-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/ecobrick-etrusco/
castelatto-brick-materia,Castelatto,Brick Materia,https://castelatto.com.br/wp-content/uploads/2025/07/08135902/22-brick-materia-final-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/brick-materia/
castelatto-colonna,Castelatto,Colonna,https://castelatto.com.br/wp-content/uploads/2021/06/23125244/colonna-etrusco-branco-arq-isabella-sefisa-fot-favaro-12-14-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/colonna/
castelatto-colunna-puglia,Castelatto,Colunna Puglia,https://castelatto.com.br/wp-content/uploads/2025/02/06174121/06-colona-puglia-cena-02-final-copiar-2-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/colunna-puglia/
castelatto-corten,Castelatto,Corten,https://castelatto.com.br/wp-content/uploads/2021/06/24171914/cf20229-8-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/corten/
castelatto-dive-in,Castelatto,Dive In,https://castelatto.com.br/wp-content/uploads/2026/03/08151443/23-dive-in-brick-final-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/dive-in/
castelatto-dorica,Castelatto,Dorica,https://castelatto.com.br/wp-content/uploads/2022/02/29091608/dorica-etrusco-fendi-i-arq-bia-ferrari-i-foto-favaro-jr-2-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/dorica/
castelatto-dorica-colors,Castelatto,Dorica Colors,https://castelatto.com.br/wp-content/uploads/2022/07/29094433/dorica-colors-travertino-romano-i-cria-arquitetura-i-foto-favaro-jr-495x730.jpg.webp,https://castelatto.com.br/produto/colors-collection/dorica-colors/
castelatto-ecobrick-block,Castelatto,Ecobrick Block,https://castelatto.com.br/wp-content/uploads/2022/02/24121316/ecobrick-block_soft_chunbo_producao-castelatto_foto-favaro-jr-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/ecobrick-block/
castelatto-ecobrick-grezzo,Castelatto,Ecobrick Grezzo,https://castelatto.com.br/wp-content/uploads/2021/06/10153110/ecobrick-grezzo-ocre-arquiteta-cassiana-fagoti-foto-favaro-jr-2-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/ecobrick-grezzo/
castelatto-ecobrick-stone,Castelatto,Ecobrick Stone,https://castelatto.com.br/wp-content/uploads/2021/06/08154712/01-ecobrick-stone-areia-final-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/ecobrick-stone/
castelatto-etrusco,Castelatto,Etrusco,https://castelatto.com.br/wp-content/uploads/2021/06/10154218/etrusco-mocha-reguas-arquiteta-bia-ferrari-foto-favaro-jr-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/etrusco/
castelatto-etrusco-colors,Castelatto,Etrusco Colors,https://castelatto.com.br/wp-content/uploads/2021/06/23193155/cf20007_2-editar-495x730.jpg.webp,https://castelatto.com.br/produto/colors-collection/etrusco-colors/
castelatto-fragmento,Castelatto,Fragmento,https://castelatto.com.br/wp-content/uploads/2025/11/08132811/19-fragmento-r1-1-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/fragmento/
castelatto-madeyra-vecchia,Castelatto,Madeyra Vecchia,https://castelatto.com.br/wp-content/uploads/2021/06/13151951/06-madeyra-vechia-marfim-entrega-copiar-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/madeyra-vecchia/
castelatto-materia-revestimento,Castelatto,Materia Revestimento,https://castelatto.com.br/wp-content/uploads/2026/03/08142730/15-materia-revestimento-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/materia-revestimento/
castelatto-moledo-naturale,Castelatto,Moledo Naturale,https://castelatto.com.br/wp-content/uploads/2022/03/23085326/moledo-naturale-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/moledo/
castelatto-moledo-tagliato,Castelatto,Moledo Tagliato,https://castelatto.com.br/wp-content/uploads/2022/03/23084309/moledo-tagliato_branco-polar_gabriela-lemos_favaro-jr_06-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/moledo-tagliato/
castelatto-mosaico-etrusco,Castelatto,Mosaico Etrusco,https://castelatto.com.br/wp-content/uploads/2021/06/13172100/mosaico-etrusco-salvia-moss-arquiteta-gabriela-gonzalez-i-foto-favaro-jr-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/mosaico-etrusco/
castelatto-mosaico-etrusco-colors,Castelatto,Mosaico Etrusco Colors,https://castelatto.com.br/wp-content/uploads/2021/06/20230153/mosaicoetruscotravertino_arqjulianavigano_fotfellipelima-495x730.jpg.webp,https://castelatto.com.br/produto/colors-collection/mosaico-etrusco-colors/
castelatto-mosaico-grezzo,Castelatto,Mosaico Grezzo,https://castelatto.com.br/wp-content/uploads/2021/06/20224726/grezzo_marcelodaudtpolido_mostrasergiobertti_fotclaudiofonseca-copiar-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/mosaico-grezzo/
castelatto-mosaico-lucce,Castelatto,Mosaico Lucce,https://castelatto.com.br/wp-content/uploads/2021/06/20231811/lucce-ouro-arq-ricardo-calejo-foto-favaro-j-4-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/lucce/
castelatto-mosaico-oxyden,Castelatto,Mosaico Oxyden,https://castelatto.com.br/wp-content/uploads/2022/07/13162236/oxyden_arqandreamartins_fotclaudiofonseca-copia-e1629122853568-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/oxyden/
castelatto-moss,Castelatto,Moss,https://castelatto.com.br/wp-content/uploads/2021/06/20232801/ecobrick-grezzo-capuccino-moss-verde-bosque-arq-andre-zazeri-foto-favaro-jr-tratada-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/moss/
castelatto-organic,Castelatto,Organic,https://castelatto.com.br/wp-content/uploads/2025/03/08150723/fjr1758-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/organic/
castelatto-pedra-puglia,Castelatto,Pedra Puglia,https://castelatto.com.br/wp-content/uploads/2021/10/06123848/pedra-puglia-chumbo-_arq-bruno-cesar-costa-fot-rogerio-maranhao16-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/pedra-puglia/
castelatto-pedra-traccia-colors,Castelatto,Pedra Traccia Colors,https://castelatto.com.br/wp-content/uploads/2024/07/26114435/pedra-traccia-colors-calacatta-bruno-carvalho_foto-favaro-jr-495x730.jpg.webp,https://castelatto.com.br/produto/colors-collection/pedra-traccia-colors/
castelatto-poente,Castelatto,Poente,https://castelatto.com.br/wp-content/uploads/2025/02/08165010/poente-etrusco-branco-projeto-producao-castelatto-foto-favaro-jr-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/poente/
castelatto-poente-colors,Castelatto,Poente Colors,https://castelatto.com.br/wp-content/uploads/2025/03/08165207/poente-colors-projeto-producao-castelatto-foto-favaro-jr_02-495x730.jpg.webp,https://castelatto.com.br/produto/colors-collection/poente-colors/
castelatto-rammed-colors,Castelatto,Rammed Colors,https://castelatto.com.br/wp-content/uploads/2021/06/20223328/rammed-colors-des-newton-lima-e-des-de-produtos-victor-leite-f-favaro-495x730.jpg.webp,https://castelatto.com.br/produto/colors-collection/rammed-colors/
castelatto-ruina,Castelatto,Ruina,https://castelatto.com.br/wp-content/uploads/2025/03/08182416/05-ruina-final-1-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/ruina/
castelatto-scaleno,Castelatto,Scaleno,https://castelatto.com.br/wp-content/uploads/2021/06/20224444/scaleno_casb-copiar-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/scaleno/
castelatto-scaleno-colors,Castelatto,Scaleno Colors,https://castelatto.com.br/wp-content/uploads/2021/06/20233255/scaleno-colors-gold-producao-castelatto-foto-favaro-jr-495x730.jpg.webp,https://castelatto.com.br/produto/colors-collection/scaleno-colors/
castelatto-shou-sugi-ban,Castelatto,Shou Sugi Ban,https://castelatto.com.br/wp-content/uploads/2021/06/26123913/shou-sugi-ban-arq-daniela-moraes-fot-fabio-grison-5-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/shou-sugi-ban/
castelatto-squadri,Castelatto,Squadri,https://castelatto.com.br/wp-content/uploads/2025/03/08144113/09-squadri-materia-final-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/squadri/
castelatto-squadri-colors,Castelatto,Squadri Colors,https://castelatto.com.br/wp-content/uploads/2021/06/20223047/squadri-colors-gold_arq-thais-beraldo_f-495x730.jpg.webp,https://castelatto.com.br/produto/colors-collection/squadri-colors/
castelatto-vero-ripato,Castelatto,Vero Ripato,https://castelatto.com.br/wp-content/uploads/2026/01/08123030/26-vero-ripato-r1-495x730.jpg.webp,https://castelatto.com.br/produto/classic-collection/vero-ripato/
castelli-abruzzo-gray-satiny-plus,Castelli,Abruzzo Gray Satiny Plus,,https://castelliporcelanato.com.br/produto/abruzzo-gray-satiny-plus
castelli-arden-castanho,Castelli,Arden Castanho,,https://castelliporcelanato.com.br/produto/arden-castanho
castelli-arden-castanho-out,Castelli,Arden Castanho Out,,https://castelliporcelanato.com.br/produto/arden-castanho-out
castelli-arenne,Castelli,Arenne,,https://castelliporcelanato.com.br/produto/arenne-62x122
castelli-basalto-beige,Castelli,Basalto Beige,,https://castelliporcelanato.com.br/produto/basalto-beige
castelli-basalto-greige,Castelli,Basalto Greige,,https://castelliporcelanato.com.br/produto/basalto-greige
castelli-basalto-greige-natural,Castelli,Basalto Greige Natural,,https://castelliporcelanato.com.br/produto/basalto-greige-natural
castelli-basalto-natural-beige,Castelli,Basalto Natural Beige,,https://castelliporcelanato.com.br/produto/basalto-natural-beige
castelli-basalto-natural-greige,Castelli,Basalto Natural Greige,,https://castelliporcelanato.com.br/produto/basalto-natural-greige
castelli-bianco-onice-satiny,Castelli,Bianco Onice Satiny,,https://castelliporcelanato.com.br/produto/bianco-onice-satiny
castelli-brutalist-decor,Castelli,Brutalist Decor,,https://castelliporcelanato.com.br/produto/brutalist-decor
castelli-brutalist-natural,Castelli,Brutalist Natural,,https://castelliporcelanato.com.br/produto/brutalist-natural
castelli-calacata-classic-satiny,Castelli,Calacata Classic Satiny,,https://castelliporcelanato.com.br/produto/calacata-classic-satiny
castelli-calacata-rhino,Castelli,Calacata Rhino,,https://castelliporcelanato.com.br/produto/calacata-rhino-62x122
castelli-castel-gray-out,Castelli,Castel Gray Out,,https://castelliporcelanato.com.br/produto/castel-gray-out
castelli-castel-gray-satiny,Castelli,Castel Gray Satiny,,https://castelliporcelanato.com.br/produto/castel-gray-satiny
castelli-castel-tasso-lux,Castelli,Castel Tasso Lux,,https://castelliporcelanato.com.br/produto/castel-tasso-lux
castelli-castel-thassos-satiny,Castelli,Castel Thassos Satiny,,https://castelliporcelanato.com.br/produto/castel-thassos-satiny
castelli-castelo-de-haward-out,Castelli,Castelo De Haward Out,,https://castelliporcelanato.com.br/produto/castelo-de-haward-out
castelli-ceppo-natural,Castelli,Ceppo Natural,,https://castelliporcelanato.com.br/produto/ceppo-natural
castelli-cimentati-beige-out,Castelli,Cimentati Beige Out,,https://castelliporcelanato.com.br/produto/cimentati-beige-out
castelli-cimentati-grafite,Castelli,Cimentati Grafite,,https://castelliporcelanato.com.br/produto/cimentati-grafite
castelli-cimentati-grafite-out,Castelli,Cimentati Grafite Out,,https://castelliporcelanato.com.br/produto/cimentati-grafite-out
castelli-cimentati-lux,Castelli,Cimentati Lux,,https://castelliporcelanato.com.br/produto/cimentati-lux
castelli-cimentati-out,Castelli,Cimentati Out,,https://castelliporcelanato.com.br/produto/cimentati-out
castelli-cimentati-satiny,Castelli,Cimentati Satiny,,https://castelliporcelanato.com.br/produto/cimentati-satiny
castelli-crema-marfil,Castelli,Crema Marfil,,https://castelliporcelanato.com.br/produto/crema-marfil-62x122
castelli-cristallo-satiny,Castelli,Cristallo Satiny,,https://castelliporcelanato.com.br/produto/cristallo-satiny
castelli-gran-bianco-onice-lux,Castelli,Gran Bianco Onice Lux,,https://castelliporcelanato.com.br/produto/gran-bianco-onice-lux
castelli-gran-bianco-onice-satiny,Castelli,Gran Bianco Onice Satiny,,https://castelliporcelanato.com.br/produto/gran-bianco-onice-satiny
castelli-gran-cianita-lux,Castelli,Gran Cianita Lux,,https://castelliporcelanato.com.br/produto/gran-cianita-lux
